Source Sentence	Target Sentence	Predicted Sentence
Even in a jet, it takes a day to circle the earth, but I can fly through the weather in just a few minutes if I go straight up.	حتى في طائرة , يَأْخذُ يوم لإحاطة الأرضِ , لَكنِّي يُمْكِنُ أَنْ أَطِيرَ خلال الطقسِ في دقائق قليلة فقط إذا أَذْهبُ إلى أعلى.	حتى في الطائرة النفاثة، يستغرق يوم للدوران حول الأرض، ولكن يمكنني أن أطير عبر الطقس في بضع دقائق فقط إذا ذهبت مباشرة إلى الأعلى.
D316 Bravo.	دي ثلاثمائة و ستة عشر برافو.	د316 برافو.
Pilot Two cleared for take-off.	يَقُودُه إثنان جاهز للإقلاعِ.	يَقُودُه إثنان جاهز للإقلاعِ.
Right around here, about a mile or so up, is where the rain clouds start.	هنا، على ارتفاع ميل أَو أكثر , حيث غيوم المطرُ بدأت تغطّي .	حوالي هنا، على بُعد ميل أو نحو ذلك، هو المكان الذي تبدأ فيه سحب الغيوم الممطرة.
This is where it all comes from.	هذا حيث كُلّ ما يَجيءُ مِنْه.	هذا حيث كُلّ ما يَجيءُ مِنْه.
For the next few miles, all those billions of gallons float in the clouds waiting to turn into rain.	لبضعة الأميالِ القادمةِ ، كُلّ تلك بلايين الغالوناتِ في الغيومِ تنتظر للتَحَوُّل إلى المطرِ.	للعديد من الأميال المقبلة، تطفو تلك المليارات من الأجناب في السحب، في انتظار أن تتحول إلى مطر.
But thankfully they don't go on for ever.	لكن شكراً هم لا يَستمرّونَ إلى الأبد.	ولكن الحمد لله أنها لا تستمر إلى الأبد.
So if you want a bit of sunshine, all you do is this.	إذن لو أردت قليلاً مِنْ شروقِ الشمس , كُلّ ماعليك فعله هو هذا.	إذن لو أردت قليلاً مِنْ شروقِ الشمس , كُلّ ماعليك فعله هو هذا.
For every mile we climb, the air cools by 17 degrees Celsius.	لكُلّ ميل نَرتفعُه , يُبرّدُ الهواءَ ب17 درجةِ مئويةِ.	لكل ميل نتسلقه، تبرد الهواء بمقدار 17 درجة مئوية.
From here, at about five miles, you can look down on a thunderstorm, look into the eye of a hurricane, or even hitch a ride with the jet stream, the fastest wind on Earth.	مِنْ هنا، في حوالي خمسة أميالِ , أنت يُمْكِنُ أَنْ تَنْظرَ نظرة استصغار إلى عاصفة رعديّة , ننْظرُ في عينِ إعصار , أَو عقبة مستوية جولة بالجدولِ النفّاثِ , الريح الأسرع على الأرضِ.	من هنا، على بُعدِ حوالي خمسة أميال، يُمكنك أن تَنظُرَ إلى عاصفة رعدية، تَنظُرَ إلى عين إعصار، أو حتى تَرْكَبَ رحلةً مع تيار الجت، أسرع رياحٍ على وجه الأرضِ.
And this is it - six and a half miles up.	وهذا هو - ستّة و نِصْف الأميالِ فوق.	وهذا هو - ستّة و نِصْف الأميالِ فوق.
The weather stops here.	يَتوقّفُ الطقسَ هنا.	يَتوقّفُ الطقسَ هنا.
Up this high, the air stops cooling and remains a constant minus 50 degrees Celsius.	فوق هذا المستوى العالي، التوقّفات الجوية تُبرّدُ وبقايا الثبات ناقص 50 درجة مئوية.	في هذا الارتفاع العالي، يتوقف تبريد الهواء ويظل عند درجة حرارة ثابتة تبلغ ناقص 50 درجة مئوية.
All the moisture in the air has dried out.	كُلّ الرطوبة في الهواءِ جفّفتْ.	كُلّ الرطوبة في الهواءِ جفّفتْ.
This freezing layer of dry air is called the tropopause.	هذه الطبقةِ المُجَمِّدةِ للهواءِ الجافِ تُدْعَى ترابيبوز.	تُعرَفُ هذه الطبقة الباردة من الهواء الجاف باسم التروبوبوز.
It acts as a lid, trapping all our weather below.	يَفْعلُ كغطاء , يَحْصرُ كُلّ طقسنا تحت.	يعمل كغطاء يحبس كل طقسنا أسفله.
Way above, you enter the stratosphere, an almost completely weather-free zone.	الطريق لفوق، تَدْخلُ طبقةَ الستراتوسفير , يَتجاوزُ منطقة حرّةَ تقريباً بالكامل.	الطريق لفوق، تَدْخلُ طبقةَ الستراتوسفير , يَتجاوزُ منطقة حرّةَ تقريباً بالكامل.
And beyond it, space.	وخلفه، فضاء.	وفوقها، الفضاء.
It's amazing to think that below me is every kind of weather imaginable.	هذا مُدهِشُ لإعتِقاد الذي تحتي كُلّ نوع للطقسِ قابل للتخيلِ.	من الرائع أن نفكر في أن تحتي يوجد كل نوع من الطقس المتصور.
We'll start the series by taking a journey with the winds.	نحن سَنَبْدأُ السلسلةَ بأَخْذ الرحلة بالرياحِ.	نحن سَنَبْدأُ السلسلةَ بأَخْذ الرحلة بالرياحِ.
In the next hour, I'm going to experience everything from a breeze to the fury of a tornado.	في الساعة التالية , سَأُواجهُ كُلّ شيءَ مِنْ نسيم إلى غضبِ الإعصار.	في الساعة التالية , سَأُواجهُ كُلّ شيءَ مِنْ نسيم إلى غضبِ الإعصار.
In just a few heart-stopping moments,	في فقط بضعة لحظات مميتة ,	في لحظات مثيرة قليلة فقط،
I'm going to be back down there to see how it all begins.	سَأَتراجعُ هناك لرُؤية كيف هو ّ يَبْدأُ.	سأعود إلى هناك لرؤية كيف تبدأ الأمور.
Take it away, Barry!	انطلق، باري!	خذها بعيداً، باري!
Wooh!	وووووه!	وووووه!
Having shot to the top of the weather, I thought I'd take the easy way down.	بَعْدَ أَنْ انطلقت إلى قمةِ الطقسِ , إعتقدتُ بأنّني أُنزلُ الطريق السهل.	بعد أن ارتفعت إلى القمة في الطقس ، اعتقدت أنني سأسلك الطريق السهل للنزول.
Below me is the equator and the start of my journey with wind.	تحتي خطُ الإستواء وبداية رحلتِي بالريحِ.	تحتي هو خط الاستواء وبداية رحلتي مع الرياح.
And this... is where it all begins.	وهذا... حيثهو يَبْدأُ.	وهذا... حيثهو يَبْدأُ.
This is where the wind is actually born.	هذه حيث الريحُ ولدتُ في الحقيقة.	هذا هو المكان الحقيقي حيث تولد الرياح.
It's hot - damned hot.	هو حارُ - حار مَلْعُون.	هو حارُ - حار مَلْعُون.
And what's really strange is there's no wind.	والغريبُ جداً ليس هناك ريح.	والغريبُ جداً ليس هناك ريح.
And that's because this... is the doldrums.	وذلك لأن هذا... الكسادُ.	وذلك لأن هذا... هو الكساد.
So how is it that there are no winds where the winds are born?	لذا كيف هي بأنه ليس هناك رياح حيث الرياح ولدت؟	فكيف يكون أنه لا توجد رياح هنا حيث يولد الرياح؟
The doldrums are basically a narrow strip of complete calm, five to ten degrees either side of the equator.	الكساد أساساً شريط ضيّق مِنْ الهدوءِ الكاملِ , خمسة إلى عشْرة درجاتِ أي من جانبي خط الإستواء.	الكساد هو في الأساس شريط ضيق من الهدوء الكامل، يمتد لخمسة إلى عشر درجات على كلا جانبي خط الاستواء.
The intense energy of the sun heats the air, which rises in huge columns, sucking in powerful surface winds from north and south.	الطاقة الحادّة للشمسِ تُسخّنُ الهواءَ , الذي يَرتفعُ في الأعمدةِ الضخمةِ , مصّ في الرياحِ السطحيّةِ القويَّةِ مِنْ الشمالِ والجنوبِ.	الطاقة الحادّة للشمسِ تُسخّنُ الهواءَ , الذي يَرتفعُ في الأعمدةِ الضخمةِ , مصّ في الرياحِ السطحيّةِ القويَّةِ مِنْ الشمالِ والجنوبِ.
The only movement of air is up, so the areas underneath remain calm and windless.	الحركة الوحيدة للهواءِ فوق , لذا المناطق تحت تبْقى في حالة هدوء وساكنة.	الحركة الوحيدة للهواء هي صعوده، لذا تبقى المناطق تحته هادئة وخالية من الرياح.
This rising air is the first movement of a massive global wind cycle which will take it right across the world.	هذا الهواءِ المتصاعدِ الحركةُ الأولى لدورة ريحِ عالميةِ هائلةِ الذي سَيَأْخذُه في كافة أنحاء العالم.	هذا الهواء المتصاعد هو أول حركة في دورة ريحية عالمية ضخمة ستأخذها عبر العالم بأكمله.
To follow the start of the wind's journey, follow this.	لإتّباع البدايةِ مِنْ رحلةِ الريحَ، يَتْبع هذه.	لمتابعة بداية رحلة الريح، اتبع هذا الرابط.
Down here at sea level, my leaf drifts lazily until it is lifted up by the rising warm air.	هُنا في مستوى البحر , تَنجرفُ ورقتَي بتكاسل إلى أنْ يَرْفعُ بالهواءِ الدافئِ المتصاعدِ.	هنا في مستوى سطح البحر، يتم تحريك الورقة ببطء حتى ترتفع بواسطة الهواء الدافئ الصاعد.
Way above, a huge pattern emerges.	الطريق لفوق , نمط ضخم يَظْهرُ.	فوقها بكثير، يظهر نمط ضخم.
The world's winds are locked into an endless cycle.	رياح العالمَ مغلقة إلى دورةِ لانهائيةِ.	رياح العالم محبوسة في دورة لا نهاية لها.
If you could see it, it would look something like this.	إذا أنت يُمْكِنُ أَنْ تَراه , هو يُظهر شيءَ مثل هذا.	إذا كنت تستطيع رؤيتها، ستبدو شيئًا مشابهًا لهذا.
Warm air rises from the equator and hits the tropopause.	إرتفاعات جوية دافئة مِنْ خطِ الإستواء وتَضْربُ التروبيبوز.	الهواء الدافئ يرتفع من خط الاستواء ويصطدم بترابيبوز.
It then slides north and south before sinking back down to Earth and returning to the equator as the winds we feel on land or sea.	هو ثمّ يَمْرُّ شمالاً وجنوبَ قبل غَرَق يَتراجعُ إلى الأرضِ ويَعُودُ إلى خطِ الإستواء بينما نَشْعرُ بالرياح على الأرضِ أَو البحرِ.	هو ثمّ يَمْرُّ شمالاً وجنوبَ قبل غَرَق يَتراجعُ إلى الأرضِ ويَعُودُ إلى خطِ الإستواء بينما نَشْعرُ بالرياح على الأرضِ أَو البحرِ.
This process then repeats itself in a further two enormous wind cycles both north and south.	هذه العمليةِ ثمّ تُكرّرُ نفسها في أبعد دراجتا ريحِين هائلتينِ تدور في كلا الشمال والجنوب.	هذه العمليةِ ثمّ تُكرّرُ نفسها في أبعد دراجتا ريحِين هائلتينِ تدور في كلا الشمال والجنوب.
These six wind cells constantly try to balance the temperature between the freezing poles and the sweltering equator.	هذه الستّة خلايا الريحِ بشكل ثابت محاولةِ لمُوَازَنَة درجةِ الحرارة بين الأقطابِ المُجَمِّدةِ وخط الإستواء المُحْتَرّ.	هذه الخلايا الهوائية الستة تحاول باستمرار توازن درجة الحرارة بين القطبين المتجمدتين وخط الاستواء الحارق.
Think of it as the earth's air conditioning system.	يَعتبرُه كالأرضِ نظامِ تكييف .	فكر فيه كنظام تكييف الهواء للأرض.
If it didn't exist, the poles would be 25 degrees colder and the equator would be 14 degrees hotter.	إذا هو لَمْ يَجدْ , الأقطاب سَتَكُونُ 25 درجةَ أبردَ وخط الإستواء سَيَكُونُ أربعة عشر درجة أحرّ.	إذا هو لَمْ يَجدْ , الأقطاب سَتَكُونُ 25 درجةَ أبردَ وخط الإستواء سَيَكُونُ أربعة عشر درجة أحرّ.
And all this from a place of dead calm.	وكُلّ هذا مِنْ مكان مِنْ الهدوء التامِّ.	وكل هذا من مكان هادئ تمامًا.
In the days of sail, being adrift in the doldrums was every sailor's nightmare.	في أيام الشراعِ، أنْ يَكُونَ عائم في الكساد كَانَ كُلّه كابوس البحّارِ.	في أيام الشراعِ، أنْ يَكُونَ عائم في الكساد كَانَ كُلّه كابوس البحّارِ.
Water on board was limited.	ماء في الداخل حُدّدَ.	كانت المياه على متن السفينة محدودة.
When that was gone, so were your chances of survival.	عندما إختفىَ ذلك , وكذلك فرصكَ مِنْ البقاءِ.	عندما ذهبت تلك، ذهبت فرصك في البقاء على قيد الحياة.
Stuck here alone with just my book is how countless sailors must have found themselves.	إلتصقَ هنا لوحده مَع فقط كتابي كَمْ بحّارة غير معدودون لا بدَّ وأنْ وَجدوا أنفسهم.	عالق هنا وحدي مع كتابي فقط، هكذا يجب أن يجد نفسه العديد من البحارة.
We came across a calm so endless that we saw no end in it - except death.	صادفنَا هدوء لانهائي جداً بأنّنا ما رَأينَا أي نهايةِ فيه - ماعدا الموتِ.	صادفنا هدوء لا ينتهي حتى رأينا فيه لا نهاية سوى الموت.
That's how one sailor remembered it.	الذي كَمْ بحّار واحد تَذكّرَه.	هكذا تذكره أحد البحارة.
Nowadays, it's hard to imagine the torture of waiting for the wind sailors endured.	في الوقت الحاضر، من الصعب تَخَيُّل التعذيبِ إنتِظار البحّارةِ الريحَ تَحمّلَ.	في الوقت الحاضر، من الصعب تَخَيُّل التعذيبِ إنتِظار البحّارةِ الريحَ تَحمّلَ.
But of course, if you survived long enough, the winds would come again.	لكن بالطبع، إذا بَقيتَ لمدة طويلة بما فيه الكفاية , الرياح تَجيءُ ثانيةً.	ولكن بالطبع، إذا استمرت في البقاء لفترة كافية، ستعود الرياح مرة أخرى.
That's because the doldrums follow the seasons.	ذلك لأن الكسادَ يَتْلي الفصولَ.	ذلك لأن الكسادَ يَتْلي الفصولَ.
As summertime moves from the northern to the southern hemisphere, the areas of intense heat that create the doldrums moves south, dragging them with it.	بينما يَنتقلُ الصيفُ من الشماليِ إلى نصف الكرة الأرضيةِ الجنوبيةِ , مناطق الحرارةِ الحادّةِ التي تَخْلقُ الكسادَ يَتحرّكُ جنوباً , يَسْحبُهم مَعه.	بينما يَنتقلُ الصيفُ من الشماليِ إلى نصف الكرة الأرضيةِ الجنوبيةِ , مناطق الحرارةِ الحادّةِ التي تَخْلقُ الكسادَ يَتحرّكُ جنوباً , يَسْحبُهم مَعه.
Then the winds created by that huge global system eventually return.	ثمّ الرياح خَلقتْ بتلك الضخمةِ نظام عالمي في النهاية يعود.	ثمّ الرياح خَلقتْ بتلك الضخمةِ نظام عالمي في النهاية يعود.
I can feel that breeze now.	أنا يُمْكِنُ أَنْ أَحسَّ بالنسيمِ الآن.	أشعر بذلك النسيم الآن.
Let's get outta here!	دعنا نَخْرجُ من هنا!	دعنا نَخْرجُ من هنا!
Every wind on Earth begins its cycle here.	كُلّ ريح على الأرضِ تَبْدأُ دورتَها هنا.	كل ريحٍ على وجه الأرض تَبْدأُ دورتها من هنا.
To see what they can do, I'm off to experience all I can of this invisible force, from the fury of a tornado to the terrifying gales of the Pacific Ocean;	لرُؤية ما يُمْكِنُ أَنْ يَعملونَ، أَنا مِنْ أُواجهُ كُلّ ما يُمْكِنُ أَنْ هذه القوةِ المخفيةِ , مِنْ غضبِ الإعصار إلى العواصفِ المرعبةِ للمحيط الهادي؛	لنرى ما يمكنها فعله، سأذهب لأجرب كل ما يمكنني تجربته من هذه القوة الخفية، بدءًا من غضب الإعصار إلى عواصف المحيط الهادئ المرعبة.
from the icy blasts of an Arctic morning and the cooling breeze of a summer day.	مِنْ الإنفجاراتِ المتجمّدةِ لصباحِ قطبيِ ونسيم تَبريد يوم صيفي.	مِنْ الإنفجاراتِ المتجمّدةِ لصباحِ قطبيِ ونسيم تَبريد يوم صيفي.
To get an idea of what to expect, I have to go underground.	لتَكوين فكرةَ ما تَتوقّعُ , يَجِبُ أَنْ أَنْزلَ تحت الأرض.	للحصول على فكرة عن ما يمكن توقعه، يجب أن أذهب تحت الأرض.
Wind is measured by the force it exerts on an object.	ريح مُقاسة بالقوةِ تمارسُ على جسمِ.	ريح مُقاسة بالقوةِ تمارسُ على جسمِ.
Today, that object is going to be me.	اليوم، ذلك الجسمِ سَيصْبَحُ أنا.	اليوم، ذلك الجسمِ سَيصْبَحُ أنا.
This place can produce wind speeds in excess of 200 miles an hour.	هذا المكانِ يُمْكِنُ أَنْ يُنتجَ سرعةَ ريحِ في الزيادةِ مِنْ 200 ميلِ في السّاعة.	يمكن لهذا المكان أن ينتج سرعات رياح تفوق 200 ميل في الساعة.
It's funnel-shaped, so the wind speed increases as the air gets squeezed.	هو قمعيُ، لذا سرعة الريحَ تزِيدُ بينما الهواء يُصبحُ معصوراً.	إنه على شكل قمع، لذلك تزداد سرعة الرياح بمجرد تضييق الهواء.
Up there, where I will stand, the wind is seven times faster than down here.	فوق هناك، أين أنا سَأَقِفُ، الريح سبع مرات أسرع مِنْ هُنا.	هناك، حيث سأقف، يكون الرياح سبع مرات أسرع من هنا.
So it's a great place to feel the full force of it.	لذا هو مكان عظيم لإحْساْس القوةِ الكاملةِ منها.	لذا هو مكان عظيم لإحْساْس القوةِ الكاملةِ منها.
The speed of wind is measured using the Beaufort scale.	سرعة الريحِ مدروسةُ تَستعملُ مقياس بوفورتَ.	سرعة الرياح تُقاس باستخدام مقياس بوفور.
This is Force 2 - about six to ten miles an hour.	هذه القوةُ - اثنين حوالي ستّة إلى عشَر أميالِ في السّاعة.	هذا هو الجزء الثاني من فيلم القوة - بسرعة تتراوح بين ستة إلى عشرة أميال في الساعة.
It feels like the gentle breeze of a summer's day.	تشْعرُ مثل النسيمِ اللطيفِ ليوم الصيفِ.	يشعر وكأنه نسيم لطيف في يوم صيفي.
But at 25 to 30 miles per hour, things are picking up.	لكن في 25 دقيقة إلى 30 ميلَ بالسّاعة , أشياء تَرتفعُ.	ولكن عند سرعة تتراوح بين 25 إلى 30 ميلا في الساعة، تزداد الأمور سرعة.
This is Force 6, a strong breeze where big trees sway and you have to fight your umbrellas.	هذه قوةُ 6, نسيم قوي حيث أشجار كبيرة تتُذبذبُ وأنت يَجِبُ أَنْ تُحاربَ مظلاتَكَ.	هذا هو القوة 6، نسيم قوي حيث تتمايل الأشجار الكبيرة وتضطر لمقاومة مظلاتك.
At 40 miles an hour	في 40 ميلِ في السّاعة	بسرعة أربعين ميل في الساعة.
- Force 8 - it's getting tough to stand up.	- القوة الثامنةُ - هو يُصبحُ قاسي للنُهُوض.	- قوة 8 - بدأت التحديات تصبح صعبة للوقوف.
A few miles an hour more and there'll be slight damage to your house.	بضعة أميال في ساعة أكثر وهناك سَتَكُونُ الضرر الطفيف إلى بيتِكَ.	بضعة أميال في الساعة إضافية وسيكون هناك تَضرّر طفيف لمنزلك.
Tree branches are already breaking.	فروع الشجرةِ تَنكسرُ.	فروع الأشجار بدأت بالفعل تتكسر.
But once you hit Force 9, things are getting really stormy.	لكن عندما ضَربتَ قوةً 9, الأشياء تُصبحُ عاصفة جداً.	لكن عندما ضَربتَ قوةً 9, الأشياء تُصبحُ عاصفة جداً.
50 miles an hour, a good gale, trees and power lines down, houses damaged.	خمسون ميل في السّاعة , عاصفة جيدة , الأشجار وخطوط الكهرباء أسفل , البيوت تَضرّرتْ.	خمسين ميل في الساعة، عاصفة قوية، أشجار وخطوط الكهرباء تنهار، ومنازل تتضرر.
But I'm still standing, as you can see.	لكن ما زِلتُ أَقِفُ، كما ترى.	لكنني لا زلت واقفًا، كما يمكنك أن ترى.
It's taking my full weight.	هو يَأْخذُ وزنَي الكاملَ.	إنه يتحمل وزني بالكامل.
In a wind tunnel, it might look like fun, but in nature, winds of this speed are deadly, and we call them hurricanes.	في نفق هوائي، هو قَدْ يَبْدو مثل مرحَ , لكن في الطبيعةِ , الرياح بهذه السرعةِ مميته , ونحن نَدْعوهم أعاصيرَ.	في نفق الرياح، قد يبدو الأمر ممتعاً، ولكن في الطبيعة، الرياح بسرعة مثل هذه هي قاتلة، ونسميها الأعاصير.
The people of Dade County, Florida, know about living through a hurricane.	الناس بمقاطعةِ دايد، فلوريدا , يَعْرفُون حول المعيشة خلال الإعصار.	الناس بمقاطعةِ دايد، فلوريدا , يَعْرفُون حول المعيشة خلال الإعصار.
In 1992, Hurricane Andrew changed their lives for ever.	في 1992، إعصار أندرو غيّرَ حياتَهم إلى الأبد.	في عام 1992، غيّر إعصار أندرو حياتهم إلى الأبد.
A devastation, a tragedy like this coming into an area just shakes up people's lives for years and years to come.	الخراب , مأساة مثل هذا يأتي إلى المنطقةَ فقط يُغيّرُ حياةَ الناسِ لسَنَواتِ وسَنَواتِ للمَجيء.	تدمير مروع، كارثة من هذا القبيل تهز حياة الناس لسنوات وسنوات قادمة.
The nightmare began on Friday August 14.	الكابوس بَدأَ يوم الجمعة أغسطس/آب 14.	بدأت الكابوس يوم الجمعة 14 أغسطس.
Like all hurricanes, Andrew began life off the coast of Africa in the warm waters of the tropical Atlantic.	مثل كُلّ الأعاصير، بَدأَ أندرو الحياة خارج ساحل أفريقيا في المياهِ الدافئةِ للأطلسي الإستوائيِ.	مثل كُلّ الأعاصير، بَدأَ أندرو الحياة خارج ساحل أفريقيا في المياهِ الدافئةِ للأطلسي الإستوائيِ.
Hot humid air rose up to create several thunderstorms around an area of low pressure.	هواء رطب حار إرتفعَ لخَلْق عِدّة عواصف رعدية حول منطقةِ الضغطِ المنخفضِ.	هواء رطب حار إرتفعَ لخَلْق عِدّة عواصف رعدية حول منطقةِ الضغطِ المنخفضِ.
Because of the earth's rotation, the storms rushed into the low pressure area in an anti-clockwise direction, like water down a plughole.	بسبب دورانِ الأرضَ , العواصف أسرعتْ إلى منطقةِ الضغطِ المنخفضةِ في عكس إتّجاهِ عقرب الساعة , مثل الماءِ تحت سدادة الفتحة	بسبب دورانِ الأرضَ , العواصف أسرعتْ إلى منطقةِ الضغطِ المنخفضةِ في عكس إتّجاهِ عقرب الساعة , مثل الماءِ تحت سدادة الفتحة
This spun them all into one enormous system which was driven across the ocean by powerful winds.	هذا سرّعَهم إلى نظامِ هائلِ واحد الذي قِيدَ عبر المحيطِ بالرياحِ القويَّةِ.	هذا سرّعَهم إلى نظامِ هائلِ واحد الذي قِيدَ عبر المحيطِ بالرياحِ القويَّةِ.
4,000 miles away in the United States, the swirling mass of thunderstorms had already been spotted.	على بعد أربعة آلاف ميلٍ في الولايات المتّحدةِ , الكتلة الدوّارة للعواصف الرعديةِ كَانتْ قَدْ إكتشفتْ.	على بعد أربعة آلاف ميلٍ في الولايات المتّحدةِ , الكتلة الدوّارة للعواصف الرعديةِ كَانتْ قَدْ إكتشفتْ.
They'd not yet formed a hurricane, but they were seen as a potential killer and were being closely monitored by hurricane experts.	هم لا يُشكّلوا لحد الآن إعصار , لَكنَّهم رَأوه كقاتل محتمل وقَدْ روقبَ مباشرةً مِن قِبل خبراءِ الإعصارِ.	لم يتشكل إعصار بعد ، ولكنه كان يُعتبر قاتلاً محتملاً وكان يتم مراقبته بعناية من قبل خبراء الأعاصير.
One of them, Stanley Goldenberg, had flown through many hurricanes, but this time his experience was going to be very different.	أحدهم، ستانلي جولدنبيرغ , طارَ خلال العديد مِنْ الأعاصيرِ , لكن هذا وقتِ تجربتِه كَانتْ مختلفة جداً.	أحدهم، ستانلي غولدنبرغ، قد قام بالطيران خلال العديد من الأعاصير، ولكن هذه المرة ستكون تجربته مختلفة جداً.
"I was asked to fly Hurricane Andrew and would have loved to go and fly but I said, ""My wife's expecting, no."" We didn't dream what would happen."	"أنا طُلِبتُ تَطيير الإعصارِ أندرو وكَانَ سَيَحبُّ ذِهاب وطَيَرَاْن لَكنِّي قُلتُ، ""تَوَقُّع زوجتي، لا. "" نحن لَمْ نَحْلمْ ماذا نَحْدثُ."	"أنا طُلِبتُ تَطيير الإعصارِ أندرو وكَانَ سَيَحبُّ ذِهاب وطَيَرَاْن لَكنِّي قُلتُ، ""تَوَقُّع زوجتي، لا. "" نحن لَمْ نَحْلمْ ماذا نَحْدثُ."
Andrew continued to build.	أندرو واصلَ البِناء.	استمر أندرو في البناء.
Like all tropical storms, it was fuelled by heat.	مثل كُلّ العواصف الإستوائية , هو أُثيرَ بالحرارةِ.	مثل جميع العواصف الاستوائية، تم تغذيتها بالحرارة.
Warm water vapour in the cloud is attracted to minute particles like salt or pollen, causing the water vapour to condense.	بخار ماءِ دافئِ في الغيمةِ يُجْذَبُ لتَدوين الجزيئاتِ مثل الملحِ أَو غبارِ الطلع , يُسبّبُ بخارَ الماءَ للتَكْثيف.	يتم جذب بخار الماء الدافئ في السحابة إلى جسيمات صغيرة مثل الملح أو اللقاح، مما يؤدي إلى تكثف بخار الماء.
